,,,,,,,,,,,,,,,
,,,,全社LAN申請_別紙,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,SRC,,,,,DST,,,Service,,,
,No,ロケーション/担当,種別,セグメント,IPアドレス,説明,ロケーション/担当,種別,セグメント,IPアドレス,説明,プロトコル,ポート番号,説明,Action
,14,名航NW担当,イントラ,最終組み立て工場(名航),"172.18.244.64/26
172.18.244.128/26
172.18.244.192/26
172.18.244.0/26
172.18.85.120/29
10.14.177.192/26
172.18.99.128/26
10.14.174.64/26
10.14.174.128/26
10.14.174.192/26
172.18.247.128/26
172.18.247.192/26
172.18.248.0/26
172.18.248.64/26
172.18.248.128/26
172.18.248.192/26
172.18.250.0/26
172.18.250.64/26
172.18.250.128/26
172.18.250.192/26
172.18.251.0/26
172.18.251.64/26
172.18.251.128/26
172.18.251.192/26
10.14.174.0/26
10.14.175.0/27
10.14.175.64/26
10.14.175.128/26
10.14.177.64/26
10.14.177.128/26
10.14.146.64/26
172.18.253.62/26
172.18.207.62/26
10.14.177.62/26
10.14.178.0/26
10.14.178.64/26
10.14.177.192/26",OA PC,横浜DC/ICTインフラ2T & CS-ERPT,イントラ,CSERP(横浜DC),10.14.220.0/23,CS-ERP SAPサーバー,TCP,"25,80,443
515,1090
3200-3399
3600-3699
4800-4899
8000-8199
44300-44499
50000-59901",SAP GUI,Permit
,,,,,,,,,,,,TCP,"20244,22275
20450,24201",JP1 View/PO,Permit
,,,,,,,,,,,,TCP,"137,139,445",SMB,Permit
,,,,,,,,,,,,UDP,"137,138,445",,
,,,,,,,,,,,,TCP,"9,859",VNC,Permit
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
